province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
NT,PELLY ISLAND,CWND,,7150,69 38,135 26W,12,Yes,,,,,,CA
NT,QAVVIK LAKE,CXQA,,7158,68 15,122 06W,530,Yes,,,,,,CA
NT,RAE LAKES,CYRA,YRA,,64 07,117 19W,213,Yes,,TAF,,,,CA
NT,RAE LAKES,CWYH,,7116,64 07,117 22W,220,Yes,,,,,,CA
NT,ROBERTSON LAKE,CWTD,,7149,65 06,102 26W,244,Yes,,,,,,CA
NT,SACHS HARBOUR(M,CYSY,YSY,7105,72 00,125 16W,86,Yes,,TAF,,,,CA
NT,TRAIL VALLEY,CXTV,XTV,7168,68 45,133 30W,85,Yes,,,,,,CA
NT,TUKTOYAKTUK,CYUB,YUB,7195,69 27,133 01W,5,Yes,,TAF,Military,,,CA
NT,TUKTUT NOGAIT NP,CXTN,XTN,7149,69 12,122 21W,552,Yes,,,,,,CA
NT,WEKWEETI,CYWE,,,64 11,114 05W,371,Yes,,TAF,,,,CA
NT,WRIGLEY AIRPORT,CYWY,YWY,,63 13,123 25W,150,Yes,,,,,,CA
NT,YELLOWKNIFE AIRP,CYZF,YZF,7193,62 28,114 27W,206,Yes,,TAF,,,,CA
NT,YOHIN,CXYH,,7102,61 15,123 45W,204,Yes,,,,,,CA
NT,CANADA/ARTCC,CZVE,ZVE,,70 10,124 41W,1,,,ARTCC,,,,CA
NU,ALERT,CWLT,WLT,7108,82 30,062 19W,63,Yes,,,Rawinsonde,,,CA
NU,ALERT AIRPORT,CYLT,YLT,,82 31,062 16W,31,Yes,,TAF,,,,CA
NU,ALERT,CZLT,,7135,82 30,062 20W,65,Yes,,,,,,CA
NU,ARCTIC BAY CS,CXAT,XAT,7159,73 00,085 02W,19,Yes,,,,,,CA
NU,ARCTIC BAY,CYAB,,,73 00,085 03W,22,Yes,,TAF,,,,CA
NU,ARVIAT AIRPORT,CYEK,YEK,,61 06,094 04W,10,Yes,,TAF,,,,CA
NU,ARVIAT CLIMATE,CXAR,,7133,61 06,094 04W,10,Yes,,,,,,CA
NU,BAKER LAKE AIRPO,CYBK,YBK,7192,64 17,096 04W,18,Yes,,TAF,Rawinsonde,,,CA
NU,BAKER LAKE,CXBL,,7135,64 19,096 00W,51,Yes,,,,,,CA
NU,BREVOORT ISLAND,CWOB,WOB,7109,63 19,064 09W,367,Yes,,,,,,CA
NU,QIKIQTARJUAQ,CYVM,,7133,67 32,064 01W,6,Yes,,TAF,,,,CA
NU,BROUGHTON ISLAND,CWVD,WVD,,67 31,063 46W,573,Yes,,,,,,CA
NU,BROWN RIVER,CWBR,,7104,66 02,091 50W,31,Yes,,,,,,CA
NU,CAMBRIDGE BAY AR,CYCB,YCB,7192,69 05,105 07W,27,Yes,,TAF,Rawinsonde,,,CA
NU,CAMBRIDGE BAY,CXCM,,7128,69 06,105 08W,19,Yes,,,,,,CA
NU,CAPE DORSET AIRP,CYTE,YTE,7191,64 13,076 31W,47,Yes,,TAF,,,,CA
NU,CAPE DYER AIRPOR,CWFD,WFD,7109,66 34,061 35W,393,Yes,,,,,,CA
NU,CAPE HOOPER,CWUP,WUP,7109,68 28,066 49W,390,Yes,,,,,,CA
NU,CAPE MERCY,CWYM,WYM,7197,64 57,063 34W,583,Yes,,,,,,CA
NU,CAPE PEEL WEST,CWPX,WPX,7106,69 01,107 49W,165,Yes,,,,,,CA
NU,CHESTERFIELD INL,CYCS,YCS,,63 21,090 43W,11,Yes,,,,,,CA
NU,COPPERMINE AIRPO,CYCO,YCO,7193,67 49,115 09W,22,Yes,,TAF,,,,CA
NU,CORAL HARBOUR AR,CYZS,YZS,7191,64 12,083 22W,64,Yes,,TAF,Rawinsonde,,,CA
NU,CROKER RIVER,CWXR,WXR,7105,69 16,119 13W,69,Yes,,,,,,CA
NU,CYLDE AIRPORT,CYCY,YCY,7109,70 28,068 31W,26,Yes,,TAF,,,,CA
NU,DEWAR LAKES,CWUW,WUW,7109,68 39,071 10W,527,Yes,,,,,,CA
NU,ENNADAI LAKE (MA,CWJC,WJC,7192,61 08,100 54W,357,Yes,,,,,,CA
NU,EUREKA,CWEU,,7191,80 00,085 55W,10,Yes,,,Rawinsonde,,,CA
NU,EUREKA,CYEU,,,80 00,085 49W,78,Yes,,TAF,,,,CA
NU,FROBISHER/IQALUI,CYFB,YFB,7190,63 45,068 33W,34,Yes,,TAF,Rawinsonde,,,CA
NU,GJOA HAVEN AIRPO,CYHK,YHK,,68 37,095 50W,46,Yes,,TAF,,,,CA
NU,GJOA HAVEN,CZHK,,7136,68 38,095 51W,42,Yes,,,,,,CA
NU,GRISE FIORD AIR,CWGZ,WGZ,,76 25,082 54W,45,Yes,,,,,,CA
NU,HALL BEACH AIRPO,CYUX,,7108,68 46,081 15W,8,Yes,,TAF,Rawinsonde,,,CA
NU,HALL BEACH,CXUX,,7132,68 47,081 15W,8,Yes,,,,,,CA
NU,HAT ISLAND,CWIL,WIL,7108,68 19,100 04W,36,Yes,,,,,,CA
NU,IGLOOLIK AIRPORT,CYGT,YGT,,69 22,081 49W,51,Yes,,TAF,,,,CA
NU,ISACHSEN (MAPS),CWIC,WIC,7107,78 47,103 33W,58,Yes,,,,,,CA
NU,LADY FRANKLIN PO,CYUJ,YUJ,7193,68 30,113 13W,16,Yes,,,,,,CA
NU,LAKE HARBOUR ARP,CYLC,YLC,,62 51,069 52W,53,Yes,,,,,,CA
NU,LONGSTAFF BLUFF,CWLX,WLX,7109,68 54,075 09W,162,Yes,,,,,,CA
NU,LUPIN ARPT (SAWR,CYWO,YWO,7149,65 46,111 15W,494,Yes,,TAF,,,,CA
NU,LUPIN (MAPS),CWIJ,WIJ,,65 46,111 14W,500,Yes,,,,,,CA
NU,NANISIVIK AIRPOR,CYSR,YSR,,72 58,084 37W,649,Yes,,TAF,,,,CA
NU,PANGNIRTUNG AIRP,CYXP,YXP,,66 09,065 43W,23,Yes,,TAF,,,,CA
NU,PELLY BAY 1,CWRF,WRF,7191,69 25,089 43W,325,Yes,,,,,,CA
NU,PELLY BAY AIRPOR,CYBB,YBB,,68 31,089 49W,15,Yes,,TAF,,,,CA
NU,POND INLET AIRPO,CYIO,YIO,7109,72 40,077 58W,57,Yes,,TAF,,,,CA
NU,RAE POINT,CZRP,,7198,75 22,105 43W,12,Yes,,,,,,CA
NU,RANKIN INLET ARP,CYRT,YRT,7108,62 49,092 07W,32,Yes,,TAF,,,,CA
NU,REPULSE BAY AIRP,CYUT,YUT,,66 31,086 15W,24,Yes,,TAF,,,,CA
NU,RESOLUTE AIRPORT,CYRB,YRB,7192,74 43,094 58W,67,Yes,,TAF,Rawinsonde,,,CA
NU,RESOLUTE CS,CXRB,,7101,74 43,094 59W,30,Yes,,,,,,CA
NU,RESOLUTION IS,CWRH,WRH,7197,61 34,064 39W,369,Yes,,,,,,CA
NU,ROWLEY ISLAND,CWRX,WRX,7108,69 04,079 01W,41,Yes,,,,,,CA
NU,SANIKILUAQ AIRPO,CYSK,YSK,,56 32,079 15W,26,Yes,,,,,,CA
NU,SHEPHERD BAY ARP,CYUS,YUS,7191,68 49,093 25W,42,Yes,,,,,,CA
NU,SPENCE BAY AIRPO,CYYH,YYH,,69 32,093 34W,28,Yes,,TAF,,,,CA
NU,STEFANSSON IS,CXSE,,7101,73 46,105 17W,11,Yes,,,,,,CA
NU,WAGER BAY,CXWB,,,65 53,089 27W,18,Yes,,,,,,CA
NU,WHALE COVE AIRPO,CYXN,YXN,,62 13,092 35W,20,Yes,,,,,,CA
NU,IQALUIT CLIMATE,CXFB,,,63 45,068 33W,34,Obsolete,,,,,,CA
ON,ATIKOKAN (AUT),CWCH,WCH,7174,48 45,091 37W,424,Yes,,,,,,CA
ON,ATTAWAPISKAT,CYAT,,,52 56,082 26W,9,Yes,,,,,,CA
ON,BANCROFT AUTOB,CWRK,WRK,,45 04,077 52W,331,Yes,,,,,,CA
ON,BARRIE (MARS),CWCU,WCU,7143,44 22,079 46W,295,Yes,,,,,,CA
ON,BARRIE-ORO,CXBI,,7131,44 29,079 33W,289,Yes,,,,,,CA
ON,BEAUSOLEIL ISL A,CWPB,WPB,7127,44 51,079 52W,183,Yes,,,,,,CA
ON,BELLE RIVER AUT0,CWDD,WDD,7127,42 17,082 42W,184,Yes,,,,,,CA
ON,BIG TROUT LAKE,CWTL,WTL,,53 49,089 53W,222,,,,Military,,,CA
ON,BIG TROUT LAKE,CYTL,YTL,7184,53 49,089 53W,224,Yes,,TAF,,,,CA
ON,BORDEN,CYBN,YBN,7153,44 16,079 55W,223,Yes,,TAF,,,,CA
ON,BRITT (MARS),CWBI,WBI,7163,45 48,080 32W,190,Yes,,,,,,CA
ON,BURLINGTON PIERS,CWWB,WWB,7143,43 18,079 47W,76,Yes,,,,,,CA
ON,CAMERON FALLS,CXCA,XCA,7129,49 09,088 21W,228,Yes,,,,,,CA
ON,CARIBOU ISL (MAP,CWCI,WCI,7143,47 19,085 49W,187,Yes,,,,,,CA
ON,CHAPLEAU ARPT(SA,CYLD,YLD,,47 49,083 20W,447,Yes,,TAF,,,,CA
ON,CHATHAM,CYCK,,,42 18,082 05W,198,Yes,,,,,,CA
ON,COBOURG (MARS),CWNC,,7143,43 57,078 10W,78,Yes,,,,,,CA
ON,COLLINGWOOD (AUT,CWCO,WCO,7127,44 27,080 10W,221,Yes,,,,,,CA
ON,COVE ISLAND (MAP,CWWX,WWX,7143,45 19,081 44W,181,Yes,,,,,,CA
ON,CYPRUS LAKE CS,CXCY,XCY,,45 14,081 32W,190,Yes,,,,,,CA
ON,DELHI CS (AUT),CXDI,XDI,7157,42 52,080 33W,232,Yes,,,,,,CA
ON,DRYDEN AIRPORT,CYHD,YHD,,49 49,092 45W,413,Yes,,TAF,,,,CA
ON,DRYDEN,CXDR,,,49 51,092 48W,413,Yes,,,,,,CA
ON,EAR FALLS (AUT),CXEA,XEA,7129,50 38,093 13W,355,Yes,,,,,,CA
ON,EARLTON AIRPORT,CYXR,YXR,7173,47 42,079 50W,243,Yes,,TAF,,,,CA
ON,EARLTON,CZXR,,7153,47 42,079 50W,243,Yes,,,,,,CA
ON,EGBERT CS,CXET,XET,7129,44 14,079 47W,251,Yes,,,,,,CA
ON,EGBERT (MAPS),CWET,,7156,44 14,079 47W,251,Yes,,,,,,CA
ON,ELLIOT LAKE (SAW,CYEL,YEL,,46 21,082 34W,329,Yes,,TAF,,,,CA
ON,ELORA RCS,CZEL,,7135,43 39,080 25W,376,Yes,,,,,,CA
ON,ERIEAU (MAPS),CWAJ,WAJ,7146,42 15,081 54W,178,Yes,,,,,,CA
ON,EXETER RADAR,CWSO,,,43 22,081 23W,1,,Yes,,,,,CA
ON,FT SEVERN,CYER,,7109,56 01,087 41W,16,Yes,,,,,,CA
ON,FRANKTOWN,CXFT,,,45 02,076 06W,122,Yes,,,,,,CA
ON,GERALDTON AIRPOR,CYGQ,YGQ,7183,49 46,086 55W,351,Yes,,TAF,,,,CA
ON,GODERICH (AUTOB),CWGD,WGD,7126,43 46,081 43W,214,Yes,,,,,,CA
ON,GORE BAY AIRPORT,CYZE,YZE,7173,45 52,082 34W,193,Yes,,TAF,,,,CA
ON,GREAT DUCK ISLAN,CWNL,WNL,7146,45 37,082 58W,183,Yes,,,,,,CA
ON,GRENADIER ISLAND,CWGH,WGH,7128,44 25,075 51W,82,Yes,,,,,,CA
ON,HAMILTON AIRPORT,CYHM,YHM,7126,43 10,079 56W,238,Yes,,TAF,,,,CA
ON,HAMILTON RBG CS,CXHM,XHM,7129,43 17,079 54W,107,Yes,,,,ASOS,,CA
ON,HARROW CDA,CXHA,XHA,7129,42 02,082 54W,191,Yes,,,,,,CA
ON,KAPUSKASING AIRP,CYYU,YYU,7183,49 25,082 28W,227,Yes,,TAF,,,,CA
ON,KAPUSKASING CDA,CXKA,XKA,7129,49 24,082 27W,218,Yes,,,,,,CA
ON,KATATOTA ISLAND,CWKK,,,49 43,088 20W,260,Yes,,,,,,CA
ON,KEMPTVILLE,CXKE,XKE,7130,45 00,075 38W,99,Yes,,,,,,CA
ON,KENORA AIRPORT,CYQK,YQK,7185,49 46,094 22W,411,Yes,,TAF,,,,CA
ON,KILLARNEY (MAPS),CWBE,WBE,7146,45 59,081 29W,196,Yes,,,,,,CA
ON,KINGSTON ARPT (M,CYGK,YGK,7162,44 13,076 35W,93,Yes,,TAF,,,,CA
ON,KIRKLAND LAKE,CXKI,,7130,48 13,080 00W,324,Yes,,,,,,CA
ON,LADRIENNE RADAR,CXLA,,,48 33,077 48W,1,,Yes,,,,,CA
ON,LAGOON CITY,CWGL,WGL,7128,44 31,079 13W,221,Yes,,,,,,CA
ON,LANSDOWNE HOUSE,CWLF,WLF,7184,52 13,087 52W,242,Yes,,,,,,CA
ON,LANSDOWNE HOUSE,CYLF,,,52 14,087 53W,242,Yes,,,,,,CA
ON,LANSDOWNE 71697,CYLH,,,52 12,087 56W,254,Obsolete,,,,,,CA
ON,LONDON CS,CWSN,,7162,43 02,081 09W,278,Yes,,TAF,,,,CA
ON,LONDON AIRPORT,CYXU,YXU,7162,43 01,081 09W,278,Yes,,TAF,,,,CA
ON,LONG POINT (MAPS,CWPS,WPS,7146,42 34,080 02W,175,Yes,,,,,,CA
ON,MARATHON,CYSP,,,48 45,086 21W,315,Yes,,TAF,,,,CA
ON,MONTREAL RIV HAR,CWGJ,,,47 14,084 35W,559,,Yes,,,,,CA
ON,MONTREAL RIV,CZGJ,,,47 15,084 36W,520,Yes,,,,,,CA
ON,MOOSONEE (SAWR),CYMO,YMO,7183,51 17,080 37W,10,Yes,,TAF,Rawinsonde,,,CA
ON,MOOSONEE,CWZC,,,51 17,080 36W,11,Yes,,,,,,CA
ON,MOOSONEE RCS,CXZC,,7130,51 18,080 37W,9,Yes,,,,,,CA
ON,MOUNT FOREST(MAR,CWLS,WLS,7163,43 58,080 45W,415,Yes,,,,,,CA
ON,MUSKOKA AIRPORT,CYQA,YQA,7163,44 58,079 17W,282,Yes,,TAF,,,,CA
ON,MUSKRAT DAM,CZMD,,,53 26,091 46W,278,Yes,,,,,,CA
ON,NAGAGAMI (MARS),CWNZ,WNZ,7183,49 45,084 10W,256,Yes,,,,,,CA
ON,NORTH BAY AIRPOR,CYYB,YYB,7173,46 21,079 25W,371,Yes,,TAF,,,,CA
ON,NORTHEAST ONT,CXTI,,,49 17,081 47W,1,Yes,,,,,,CA
ON,OGOKI POST,CYKP,YKP,,51 40,085 54W,179,Yes,,,,,,CA
ON,OLIPHANT (AUTOB),CWDF,WDF,7128,44 43,081 16W,182,Yes,,,,,,CA
ON,OSHAWA,CYOO,,,43 55,078 54W,139,Yes,,,,,,CA
ON,OTTAWA INTL,CYOW,YOW,7162,45 19,075 40W,114,Yes,,TAF+AIRMET/SIGMET,,,,CA
ON,OTTAWA CDA RCS,CXOA,,7106,45 23,075 43W,79,Yes,,,,,,CA
ON,N ONTARIO PORTAB,CXQT,XQT,,48 26,089 13W,183,Yes,,,,,,CA
ON,PARRY SOUND,CXPC,,7117,45 21,080 03W,176,Yes,,,,,,CA
ON,PEAWANUCK,CYPO,YPO,,54 59,085 26W,53,Yes,,,,,,CA
ON,PETAWAWA,CYWA,YWA,7162,45 57,077 19W,130,Yes,,TAF,Military,,,CA
ON,PETERBOROUGH ARP,CYPQ,YPQ,,44 13,078 22W,191,Yes,,TAF,,,,CA
ON,PICKLE LAKE,CYPL,YPL,7184,51 28,090 12W,373,Yes,,TAF,Rawinsonde,,,CA
ON,POINT PETRE (MAR,CWQP,WQP,7143,43 50,077 09W,79,Yes,,,,,,CA
ON,PORT COLBORNE(AU,CWPC,WPC,7146,42 52,079 15W,184,Yes,,,,,,CA
ON,PORT WELLER (MAR,CWWZ,WWZ,7143,43 15,079 13W,79,Yes,,,,,,CA
ON,PUKASKWA PARK,CWCJ,WCJ,,48 36,086 17W,206,Yes,,,,,,CA
ON,RAWSON LAKE,CYTA,,,49 40,093 44W,435,Yes,,,,,,CA
ON,RAWSON LAKE,CTRA,,,49 40,093 44W,435,Yes,,,,,,CA
ON,RED LAKE AIRPORT,CYRL,YRL,7185,51 04,093 47W,383,Yes,,TAF,,,,CA
ON,RIDGETOWN RCS,CXRG,,7130,42 27,081 53W,205,Yes,,,,,,CA
ON,ROQUEMAURE,CWGQ,WGQ,7173,48 37,079 27W,269,Yes,,,,,,CA
ON,S.E. SHOAL (MAPS,CWNB,WNB,7146,41 49,082 28W,195,Yes,,,,,,CA
ON,SANDY LAKE,CZSJ,,7109,53 04,093 21W,290,Yes,,,,,,CA
ON,SARNIA AIRPORT,CYZR,YZR,7163,43 00,082 18W,181,Yes,,TAF,,,,CA
ON,SAULT STE MARIE,CYAM,YAM,7126,46 28,084 31W,192,Yes,,TAF,,,,CA
ON,SIOUX LOOKOUT AR,CYXL,YXL,7184,50 07,091 54W,390,Yes,,TAF,,,,CA
ON,ST. CATHARINES A,CYSN,YSN,,43 12,079 10W,98,Yes,,TAF,,,,CA
QC,STERLING,CYQC,,,46 19,077 38W,139,Yes,,,,,,CA
ON,SUDBURY AIRPORT,CYSB,YSB,7173,46 38,080 48W,348,Yes,,TAF,,,,CA
ON,SUPERIOR W RADAR,CXNI,,,48 51,089 07W,1,,Yes,,,,,CA
ON,TERRACE BAY (SAW,CYTJ,YTJ,,48 49,087 05W,287,Yes,,TAF,,,,CA
ON,THUNDER BAY,CYQT,YQT,7174,48 22,089 19W,199,Yes,,TAF+AIRMET/SIGMET,,,,CA
ON,THUNDER BAY,CZTB,,,48 22,089 19W,199,Yes,,,,,,CA
ON,TIMMINS AIRPORT,CYTS,YTS,7173,48 34,081 22W,295,Yes,,TAF,,,,CA
ON,TORONTO BUTTONVI,CYKZ,YKZ,7163,43 52,079 22W,198,Yes,,TAF,,,,CA
ON,TORONTO IL  VOR,CYTZ,YTZ,7126,43 38,079 24W,77,Yes,,TAF,,,,CA
ON,TORONTO/PEARSON,CYYZ,YYZ,7162,43 40,079 37W,173,Yes,,TAF+AIRMET/SIGMET,,,,CA
ON,TORONTO CITY,CXTO,,7150,43 40,079 24W,113,Yes,,,,,,CA
ON,TRENTON (CAN MIL,CYTR,YTR,7162,44 07,077 31W,86,Yes,,TAF,,,,CA
ON,TROWBRIDGE (MAPS,CWAB,WAB,7146,48 17,088 52W,218,Yes,,,,,,CA
ON,UPPER RIDEAU LAK,CWJM,WJM,7129,44 42,076 17W,125,Yes,,,,,,CA
ON,UPSALA (MARS),CWDV,WDV,7143,49 01,090 28W,489,Yes,,,,,,CA
ON,UPSALA (RADAR),CWIM,,,49 02,090 25W,538,,Yes,,,,,CA
ON,VINELAND (AU8),CXVN,XVN,7117,43 11,079 24W,79,Yes,,,,ASOS,,CA
ON,WATERLOO WELL,CYKF,YKF,7136,43 28,080 23W,317,Yes,,TAF,,,,CA
ON,WAWA AIRPORT,CYXZ,YXZ,7173,47 58,084 46W,287,Yes,,TAF,,,,CA
ON,WELCOME ISLAND,CWEC,,7175,48 22,089 07W,209,Yes,,,,,,CA
ON,WESTERN ISL (MAP,CWMZ,WMZ,7143,45 01,080 22W,191,Yes,,,,,,CA
ON,WIARTON AIR,CYVV,YVV,7163,44 45,081 05W,222,Yes,,TAF+AIRMET/SIGMET,,,,CA
ON,WINDSOR AIRPORT,CYQG,YQG,7153,42 16,082 58W,190,Yes,,TAF,,,,CA
ON,SIMCOE (MARS),CWSI,WSI,7152,42 51,080 16W,241,Obsolete,,,,,,CA
ON,KENORA/ONT VOR,CVBI,VBI,,49 28,094 02W,394,,,,,,,CA
ON,PICKLE LAKE,CWPL,WPL,,51 28,090 12W,386,,,,Military,,,CA
ON,ALFRED,CTAE,,7136,45 33,074 53W,57,Yes,,,,,,CA
ON,ALEXANDRIA 71393,CTAL,,,45 19,074 37W,77,Obsolete,,,,,,CA
ON,MOOSE CREEK,CTCK,,7130,45 15,074 58W,85,Yes,,,,,,CA
ON,CORNWALL,CTCW,,7136,45 02,074 41W,58,Yes,,,,,,CA
ON,ALGONQUIN PARK,CTNK,,7158,45 32,078 16W,410,Yes,,,,,,CA
ON,WINCHESTER,CTWN,,7136,45 03,075 20W,75,Yes,,,,,,CA
PE,CHARLOTTETOWN AR,CYYG,YYG,7170,46 16,063 07W,54,Yes,,TAF,,,,CA
PE,CONFEDERATION BR,CXBP,,,46 14,063 44W,54,Yes,,,,,,CA
PE,EAST POINT (MARS,CWEP,WEP,7141,46 27,061 58W,11,Yes,,,,,,CA
PE,MAPLE PLAINS PEI,CXMP,,,46 18,063 35W,46,Yes,,,,,,CA
PE,NORTH POINT (AUT,CWNE,WNE,,47 04,064 00W,15,Yes,,,,,,CA
PE,ST PETERS,CZSP,,7131,46 27,062 35W,30,Yes,,,,,,CA
